band, channel, owanova_F, owanova_p, kruskal_F, kruskal_p
delta, TP8, 5.969536942999289, 0.014586888838919959, 2.350138250347421, 0.12527189710637038
delta, P7, 1.0922497451157995, 0.29602002063898136, 1.396240412851426, 0.2373540636450787
delta, P5, 0.1724692850672812, 0.6779430232432774, 0.2714205909524031, 0.6023804160316848
delta, P3, 0.2704508286309353, 0.6030508151985133, 0.13441853841252457, 0.7138940288394855
delta, P1, 0.8557717992826855, 0.35496594164489037, 1.3891444265064063, 0.2385496386359534
delta, Pz, 0.7159466734882989, 0.3975141658220964, 1.3039891975111455, 0.2534858345035454
delta, P2, 3.747590002742768, 0.052935799740704295, 2.4164338510715466, 0.12006798717468974
delta, P4, 0.9181803453307504, 0.33799607470904214, 0.01239351996675169, 0.9113576900541573
delta, P6, 1.513854188280778, 0.2186054666080374, 0.224503682824546, 0.6356295578230067
delta, P8, 1.860728394547059, 0.1725975647820034, 1.6175039260334254, 0.2034401809901047
delta, PO7, 0.32481329228145217, 0.5687529812362555, 0.1781817380117001, 0.6729405050405972
delta, PO3, 0.7611297689415012, 0.38301395603067556, 0.17492293172891396, 0.6757731962964888
delta, PO4, 3.3358705296400575, 0.06783966997950897, 3.5513799234039456, 0.0594959523362231
delta, PO8, 0.1692115818135422, 0.6808297647848773, 0.25853824821495663, 0.6111261808767532
delta, O1, 0.6519247504142662, 0.4194609068918672, 0.05087865657878865, 0.8215413388328714
delta, Oz, 1.321281231366872, 0.2504131084602787, 0.8002168348175474, 0.37102854738762336
delta, O2, 0.07407321064333293, 0.7855063643436292, 0.02623845028310427, 0.8713193432076506
delta, M1, 0.5625351148455416, 0.453273257192925, 0.08941085209262421, 0.7649274753837048
theta_low, Fp1, 0.6962282194890692, 0.4040908596334458, 0.6278953048064283, 0.4281283824612627
theta_low, Fpz, 0.3458045572832799, 0.5565223040295383, 0.026643715103012503, 0.8703381128162623
theta_low, Fp2, 0.17780552924992282, 0.6732827284895129, 0.3924184407467759, 0.5310308982904157
theta_low, AF7, 0.8453881428155652, 0.357901330438956, 0.5827217586911315, 0.44524745160518897
theta_low, AF3, 0.02076705679284916, 0.8854207223952603, 0.03534878267319158, 0.8508666803147421
theta_low, AF4, 0.023485620813527612, 0.8782067008554102, 0.08598901827987426, 0.7693395969427482
theta_low, AF8, 0.3950943885418953, 0.5296602215069725, 2.566401069704708, 0.10915581173443101
theta_low, F7, 0.0011432442101510516, 0.9730283996691925, 0.004915016159524991, 0.94410835495011
theta_low, F5, 0.193565562573879, 0.6599830466574568, 0.21259271414218156, 0.6447428067750742
theta_low, F3, 0.10242685895209307, 0.7489488920436926, 0.051854316418149415, 0.8198674772502947
theta_low, F1, 1.028444566366487, 0.31056967636640737, 3.137202186754584, 0.0765249740915866
theta_low, Fz, 0.09893763693139794, 0.7531203979632408, 0.3819641072652222, 0.5365539493865908
theta_low, F2, 0.03554216375714593, 0.8504711840221265, 0.011526415458315698, 0.9145024780821094
theta_low, F4, 0.2363325848985152, 0.6268872664165118, 0.11693131961056198, 0.7323868511804297
theta_low, F6, 0.42821765184024685, 0.512892665522046, 1.253127225576048, 0.2629560336246659
theta_low, F8, 0.1811232538367635, 0.6704266532644518, 1.2435659748813213, 0.2647849086620384
theta_low, FT7, 0.8077413448427717, 0.368828908814231, 2.8498485075560747, 0.09138254729234534
theta_low, FC5, 1.1060820699817366, 0.2929822331904954, 0.5949723564291138, 0.4405027551193381
theta_low, FC3, 0.9716423481848927, 0.3243150535953022, 0.7692471431819802, 0.3804500554039405
theta_low, FC1, 3.229413584769463, 0.0723823990109495, 4.266972018197072, 0.038860119398129764
theta_low, FCz, 0.3044266846922406, 0.5811433180261358, 1.1078039362870282, 0.2925598226820296
theta_low, FC2, 0.2610250408268265, 0.6094376817473175, 0.2979631007999351, 0.5851622003143087
theta_low, FC4, 0.07383462638119848, 0.7858436435510822, 0.1540528074423351, 0.6946920510258445
theta_low, FC6, 2.0075343588056196, 0.15657716334780356, 0.1797669934995986, 0.6715735591347614
theta_low, FT8, 0.008036678612827964, 0.9285706396732538, 1.1541764166772703, 0.28267658290891234
theta_low, T7, 3.645065380176637, 0.056288503202281306, 2.1995342186078974, 0.1380524466372968
theta_low, C5, 0.05767357510150238, 0.8102205768274513, 2.4265771824118727, 0.11929312262392353
theta_low, C3, 1.8115343396132784, 0.1783807410313999, 2.394026111636094, 0.12179958124957448
theta_low, C1, 5.734884259528446, 0.016665016805245424, 5.814762477784921, 0.015892199551526712
theta_low, Cz, 0.09913103822932921, 0.7528870802573527, 1.3771738716206188, 0.24058312694690365
theta_low, C2, 1.8845954812624974, 0.16986972373606163, 3.7045755036073524, 0.05426347272251698
theta_low, C4, 1.7227984435090948, 0.18938896313932385, 5.47581507925766, 0.019281367131394195
theta_low, C6, 0.4234931351585277, 0.5152268315254347, 0.344661723524568, 0.5571506670952837
theta_low, T8, 0.072508924005747, 0.7877284944978459, 0.04154994292577094, 0.838480072194035
theta_low, TP7, 0.7803423611990363, 0.37707574956650036, 2.052018981283553, 0.15200449832176743
theta_low, CP5, 1.0482057359218984, 0.30596651164995886, 2.109286672016831, 0.1464075501381117
theta_low, CP3, 4.595731427930611, 0.03209615974476603, 4.920070020582896, 0.026546441196278237
theta_low, CP1, 0.0018416623285893755, 0.9657712010675228, 0.41772866546728277, 0.518072577314354
theta_low, CPz, 1.2916785276798393, 0.25578924496355376, 1.2810441605691067, 0.25770498155835986
theta_low, CP2, 0.7492835284279459, 0.3867415907443609, 1.7062448438517932, 0.19147330856818845
theta_low, CP4, 2.6009351177639264, 0.10685907365955581, 5.458495556644493, 0.019473406192256366
theta_low, CP6, 4.450363045199822, 0.03493969121769543, 2.2658886843785755, 0.13225032885779245
theta_low, TP8, 1.1828030439028878, 0.2768345928498604, 1.4968426047121959, 0.2211578185947983
theta_low, P7, 1.3210532217178623, 0.25045398352628234, 1.7314022854651134, 0.188231911782399
theta_low, P5, 0.5879166960097141, 0.4432593462326955, 1.102033060688265, 0.2938203650466564
theta_low, P3, 3.3682208674406615, 0.06652042278704978, 1.194022504880735, 0.27451966847415277
theta_low, P1, 0.12961002262654384, 0.7188507926817311, 0.020634695538433927, 0.885778579113799
theta_low, Pz, 0.17860418523344235, 0.6725923503233923, 0.11017219317310034, 0.7399481814576088
theta_low, P2, 4.215308909270881, 0.04010880715695041, 2.0491737916940265, 0.15228881342702053
theta_low, P4, 4.910232683070005, 0.026739555719182507, 2.6355176351309573, 0.10449799820137712
theta_low, P6, 2.258009891286904, 0.13298321488586462, 0.40945679340134705, 0.5222453443819723
theta_low, P8, 4.806567456448172, 0.028393960691782714, 2.6081435891644653, 0.10631615324367182
theta_low, PO7, 3.969444916379219, 0.04638326867566229, 2.8005166312074548, 0.09423393834480168
theta_low, PO3, 0.3428018364707797, 0.5582408445196255, 0.15424440683146745, 0.6945118067580278
theta_low, PO4, 0.08269853764150596, 0.7736842328922112, 0.18225103462380873, 0.6694458315194666
theta_low, PO8, 0.9178166787046615, 0.3380917526098628, 0.007046865365793601, 0.933099676318438
theta_low, O1, 1.7900364549601717, 0.1809780180869451, 0.16481712828729136, 0.6847596775930338
theta_low, Oz, 0.015116153326784858, 0.9021530322289446, 1.2376257528988637, 0.2659291202325405
theta_low, O2, 0.08398421911511042, 0.7719801297467714, 0.2233902285563376, 0.6364687874290224
theta_low, M1, 0.2926695200177336, 0.5885371943660481, 0.46695082524360754, 0.4943932861108066
theta_high, Fp1, 0.8242755581147426, 0.36397353548615374, 3.034184279616535, 0.08152751789496208
theta_high, Fpz, 1.3861510072577035, 0.23910802911460005, 0.09607627679947504, 0.7565900556988923
theta_high, Fp2, 3.2935654136361103, 0.06960725537524717, 3.1291502754493483, 0.07690381479357536
theta_high, AF7, 0.11491056002074254, 0.7346345014575728, 0.7885509261162985, 0.3745386535553039
theta_high, AF3, 0.45336785393364865, 0.5007687322021346, 2.5194317228660155, 0.11245110238651328
theta_high, AF4, 1.7002283820953266, 0.1923136514027125, 0.23068971737054317, 0.6310128844242326
theta_high, AF8, 5.146856024647686, 0.023327773214946855, 0.7144642518766642, 0.3979657602417369
theta_high, F7, 0.4092441077942428, 0.5223805341400063, 1.003438604632082, 0.316479894285301
theta_high, F5, 1.9159897565438102, 0.16635657981664181, 2.6576334157322763, 0.10305396076662848
theta_high, F3, 2.254260449217546, 0.13330552378387725, 4.324407146335953, 0.037569499454982634
theta_high, F1, 1.7284412029437881, 0.18866588320876906, 2.4613710660515813, 0.11667689731832509
theta_high, Fz, 1.1560130351032676e-05, 0.9972873078659213, 0.6472807188895977, 0.4210865744662645
theta_high, F2, 0.06804861607379892, 0.7942094123123997, 0.10507240755227679, 0.7458254258485573
theta_high, F4, 2.0360382411162266, 0.15366703638188467, 0.2606694885138006, 0.6096605799352999
theta_high, F6, 6.089994377441532, 0.013625704064985047, 3.7654065623745567, 0.05232313661223375
theta_high, F8, 0.04763233206370241, 0.8272438741438051, 0.5691250337422343, 0.4506068142676296
theta_high, FT7, 0.28795427805261953, 0.5915565586535131, 1.0366890632281964, 0.3085927603908695
theta_high, FC5, 0.6290833665592441, 0.4277265615255976, 2.4202825657923626, 0.11977332403203209
theta_high, FC3, 7.28383526481707, 0.006979420641349284, 5.456704048508124, 0.0194933829631793
theta_high, FC1, 3.5344635976233754, 0.060159521891846, 3.12369566724015, 0.07716159875945428
theta_high, FCz, 0.3117057105621252, 0.5766585045017114, 3.0177217375463408, 0.08235909201515229
theta_high, FC2, 1.119298340758637, 0.2901168780838084, 1.557164977564845, 0.21208080531367163
theta_high, FC4, 4.049485875256445, 0.04423432384397099, 4.656411018143413, 0.03093779492273778
theta_high, FC6, 1.2690467165483572, 0.25999561278720323, 0.6477014501656939, 0.42093567174436575
theta_high, FT8, 0.49721496434522316, 0.48075679584609643, 0.564545519505581, 0.45243455943027777
theta_high, T7, 1.9023918971349274, 0.16786790961465703, 0.028861528873934214, 0.8650991528945219
theta_high, C5, 0.656604931305225, 0.4177967762212973, 3.2943051244536248, 0.06952051749051746
theta_high, C3, 8.489616677543172, 0.003586439734632291, 4.838530654597356, 0.02783059845443755
theta_high, C1, 3.055037770457476, 0.0805439142665511, 5.386862142994188, 0.020288923464835348
theta_high, Cz, 0.7638685338358153, 0.3821594172067959, 3.314423070348384, 0.06867442147543254
theta_high, C2, 5.958824318523393, 0.014675682192214734, 11.510113082213708, 0.0006921856687913558
theta_high, C4, 5.032002544587909, 0.02492346750111084, 9.319929691977144, 0.0022667469152737253
theta_high, C6, 1.2220380500943921, 0.26901026687882146, 1.3829067163424262, 0.23960664770104456
theta_high, T8, 2.955356971715079, 0.08565067012946266, 0.004572948349283336, 0.946085285547936
theta_high, TP7, 1.318929234848287, 0.2508351422633912, 0.15919128596734974, 0.6899021738911916
theta_high, CP5, 0.3254658509668144, 0.5683649554381992, 0.5690461466391501, 0.4506382014198774
theta_high, CP3, 0.6711226657114615, 0.4126965947041673, 0.8303677191771046, 0.3621662207291657
theta_high, CP1, 3.0773541443410535, 0.07944625450713025, 5.567264625326948, 0.01829932611034138
theta_high, CPz, 4.608161823893703, 0.03186450262708942, 3.490714367493403, 0.06171394849513739
theta_high, CP2, 4.653611901828713, 0.031032226369390493, 8.343649846000739, 0.0038703767259571156
theta_high, CP4, 0.8069431870042773, 0.3690655653191508, 3.3559600781994643, 0.06696215314447344
theta_high, CP6, 3.219478668137674, 0.07282267721922911, 4.202557431507164, 0.04036306390928303
theta_high, TP8, 2.3878434319211723, 0.12234077080632404, 4.414794620995744, 0.0356285673637569
theta_high, P7, 0.06048105279279453, 0.8057465659290172, 0.0613238353040231, 0.8044156685149872
theta_high, P5, 0.7053485182826922, 0.4010294827727038, 0.556403613343146, 0.45571292161878474
theta_high, P3, 0.9763799330380073, 0.3231384186659476, 1.8191514945480878, 0.1774143098774735
theta_high, P1, 5.213851767566443, 0.022446279818591795, 4.751781989492766, 0.02926797052083749
theta_high, Pz, 0.3294120776318762, 0.5660293696507417, 0.21487298799957474, 0.6429745239690801
theta_high, P2, 2.5332638699838506, 0.11152792179078629, 3.9155463933788694, 0.04784146131454742
theta_high, P4, 0.029748589085466723, 0.8630683772391852, 0.5006097837693211, 0.47923231097594254
theta_high, P6, 0.10115507312833441, 0.750460169125547, 0.37393882879218426, 0.5408650582792462
theta_high, P8, 0.08730151650149255, 0.7676475162186636, 0.20409687229903803, 0.6514340943397219
theta_high, PO7, 0.4511370053786334, 0.5018242137145109, 0.37683266396994314, 0.5393032344829498
theta_high, PO3, 0.14610778935741656, 0.7022980249955943, 0.0002002833757022761, 0.9887085941923941
theta_high, PO4, 1.651650206290504, 0.1987895545887755, 0.5630274854658361, 0.4530429881432283
theta_high, PO8, 0.055608407592197734, 0.8135856687627248, 0.04001193995143367, 0.841457237779464
theta_high, O1, 0.07234603336393491, 0.7879613595230337, 0.6279367378868824, 0.4281131434680552
theta_high, Oz, 0.20191562254076278, 0.6531970540802103, 1.2964769782851375, 0.25485774818042045
theta_high, O2, 0.15832970211316288, 0.6907147155354636, 0.01395313826383536, 0.9059698805972948
theta_high, M1, 1.9778451394412473, 0.15967510000068424, 1.3280014070833066, 0.24916108095493253
alpha, Fp1, 0.3095991831348596, 0.5779492856416582, 1.2322994553582216, 0.2669603144106202
alpha, Fpz, 0.8132086833596042, 0.3672134889141865, 0.004704708063386389, 0.9453152828616856
alpha, Fp2, 3.755634753480007, 0.052681834798595374, 3.2678495208162635, 0.07065017969638043
alpha, AF7, 0.1983189988652208, 0.6560989745995623, 0.2183691420829961, 0.6402853696720412
alpha, AF3, 1.4853918884046604, 0.22298601288994443, 0.1586562892689378, 0.6903966633335636
alpha, AF4, 0.038514138095310395, 0.8444217230644743, 0.0030814258357528363, 0.9557316916838923
alpha, AF8, 0.3882094225844089, 0.5332684029426699, 0.014797265627992145, 0.903180955845954
alpha, F7, 2.10204064087408, 0.14716072955821563, 1.1980443072211027, 0.27371290889988964
alpha, F5, 0.012161180485426498, 0.9121932034981044, 1.1270380167310239, 0.2884080182099893
alpha, F3, 0.6881682584676702, 0.4068247653281054, 0.6361116508895873, 0.42512234208255884
alpha, F1, 1.5716046441213507, 0.21002836468302005, 0.1087364401141479, 0.7415872917646964
alpha, Fz, 0.0029066179512131133, 0.9570064249321776, 0.06083279880531344, 0.8051844771192278
alpha, F2, 0.15433346201426626, 0.6944435687645989, 0.07432200374493583, 0.7851448578548812
alpha, F4, 0.18451285307045306, 0.667540436380635, 1.4618869789299305, 0.22663012118796602
alpha, F6, 0.018443952534058568, 0.8919777184610033, 0.30859746755621315, 0.5785421131439145
alpha, F8, 0.362261413537419, 0.5472782287535647, 0.4858362917692207, 0.4857905417853856
alpha, FT7, 0.5446944046241922, 0.4605257451740472, 2.3212380189647046, 0.12761842010952143
alpha, FC5, 0.11222655606731266, 0.7376363367125516, 0.0022622464615193075, 0.9620644575866167
alpha, FC3, 0.9807743182142832, 0.322052053825589, 0.3269283975322281, 0.5674733811722427
alpha, FC1, 0.24083288099179748, 0.6236251367319428, 0.29511583837999156, 0.5869606782587631
alpha, FCz, 6.5496148753131695, 0.010517675691137146, 2.282131102644788, 0.13087193749785864
alpha, FC2, 0.5058730515002907, 0.4769615567201355, 0.13424606637377529, 0.7140695658384987
alpha, FC4, 2.055128520759587, 0.1517523079151455, 0.5573140249886293, 0.4553444915930568
alpha, FC6, 0.02755230109771517, 0.8681719277534368, 0.12887297956685534, 0.7196034459760441
alpha, FT8, 0.03433779749451943, 0.8529970786863779, 0.08501054665768308, 0.7706187179658777
alpha, T7, 0.7871397591264089, 0.3750058857477129, 0.0757302868096123, 0.783169221472504
alpha, C5, 3.4646604090358535, 0.06274763678951303, 3.4186377934663574, 0.06446418581314366
alpha, C3, 0.2747600665860578, 0.6001779033787668, 0.16360236020419547, 0.6858613364084231
alpha, C1, 1.9498164086429204, 0.1626639866697328, 2.333814945651119, 0.12659129569480113
alpha, Cz, 0.5522755563624534, 0.45742169594607696, 0.9936855522169187, 0.31884325861328594
alpha, C2, 0.02813625847251657, 0.8667951564725785, 0.4656535685910729, 0.49499355543684453
alpha, C4, 0.9572293405870517, 0.3279297280615212, 0.5216165709862008, 0.4701529123295237
alpha, C6, 3.2679879647962853, 0.07069979505576988, 3.9595027813903787, 0.04660746831336605
alpha, T8, 0.10571271628852148, 0.7450915475118425, 0.0006163930770998308, 0.9801927435982528
alpha, TP7, 0.3486294506523084, 0.5549146820348883, 0.0013723189642354024, 0.9704492660917056
alpha, CP5, 0.5403354831013587, 0.46232562264906873, 1.3305131865116815, 0.24871394190060775
alpha, CP3, 0.05657885615715002, 0.8119962908747517, 0.44039957254635526, 0.5069296617480017
alpha, CP1, 0.9144899347211013, 0.33896868377461575, 0.06697273174818903, 0.7957965767848769
alpha, CPz, 1.613682352206061, 0.20402963723701878, 3.2967413744538177, 0.06941746559192173
alpha, CP2, 0.5338092977820869, 0.4650414133975175, 0.5566896633278758, 0.45559711092825916
alpha, CP4, 0.033200803525976916, 0.8554240721001969, 0.6169913201429605, 0.43216753243142125
alpha, CP6, 0.32838681935833325, 0.5666343777655556, 0.755687435310297, 0.3846815075006348
alpha, TP8, 0.08673632502323551, 0.7683792954453602, 1.6112370128508366, 0.20431800337382156
alpha, P7, 0.28853866686983476, 0.5911806276888893, 0.07925729257140694, 0.7783064389160135
alpha, P5, 0.8991344768226206, 0.3430562960508978, 0.3854512391092609, 0.5347001676819955
alpha, P3, 3.4322462017326325, 0.0639895752787942, 0.8585550474529787, 0.3541433673951616
alpha, P1, 2.3134854899776878, 0.12831467331291402, 2.678557858002984, 0.10170779682154323
alpha, Pz, 1.9619780366374433, 0.16135934534919236, 3.097874280185061, 0.07839459613913682
alpha, P2, 1.7706557564583607, 0.1833570884826234, 3.1911771838695744, 0.07403667926051027
alpha, P4, 3.0141240373921945, 0.08259903300402502, 3.5460610988418457, 0.05968697952997839
alpha, P6, 0.0005346580357830866, 0.9815532732862531, 0.019111653265068532, 0.8900468681366496
alpha, P8, 1.5360276754362194, 0.21526386860869576, 0.6977541022272986, 0.4035393790088534
alpha, PO7, 0.40007611554981487, 0.5270767109884653, 0.2780435385228922, 0.5979864274041373
alpha, PO3, 0.06398112035414205, 0.8003204163726735, 0.010556026358105916, 0.9181673224719232
alpha, PO4, 1.944384008200927, 0.16325063584330388, 1.6826051125009593, 0.19457865369871286
alpha, PO8, 3.218314649316128, 0.07287444990887887, 0.6398145797449067, 0.4237779484955221
alpha, O1, 0.451228925117698, 0.5017806489634058, 0.022197940281073032, 0.881561735104639
alpha, Oz, 0.3313132132405149, 0.5649108084542271, 0.05792802946965244, 0.8098012618066024
alpha, O2, 0.32590728635804467, 0.5681027604805087, 0.013760287372719681, 0.9066189562429232
alpha, M1, 1.3467279973646549, 0.2459022116289503, 2.342076181466071, 0.12592162668554926
beta, Fp1, 0.9802602224176203, 0.322178897761494, 2.03356053193663, 0.15385978678178502
beta, Fpz, 0.9664701941717873, 0.3256060936478483, 2.1528186020781446, 0.14230842683879052
beta, Fp2, 0.9829841386342957, 0.32150756921735213, 1.8757197376709212, 0.1708214259738305
beta, AF7, 0.009597992524265601, 0.9219602688935362, 0.010982855098733356, 0.9165352100626123
beta, AF3, 0.5990597893508887, 0.43897084224900573, 0.03321597939551948, 0.855384561662057
beta, AF4, 0.24754964010767647, 0.6188260039951463, 0.17092954680484063, 0.6792870079617119
beta, AF8, 0.9533102440088544, 0.32892183642751627, 6.302124973719416, 0.012059332909503404
beta, F7, 2.7908972179894707, 0.09485904285446242, 1.501815061513452, 0.22039229614890585
